Time, PoorSignal, Attention, Meditation
13:37:47, 0, 67, 41
13:37:48, 0, 64, 47
13:37:49, 0, 54, 48
13:37:50, 0, 64, 35
13:37:51, 0, 78, 34
13:37:52, 0, 66, 29
13:37:53, 0, 63, 26
13:37:54, 0, 43, 27
13:37:55, 0, 20, 41
13:37:56, 0, 23, 54
13:37:57, 0, 26, 61
13:37:58, 0, 27, 57
13:37:59, 0, 41, 51
13:38:00, 0, 54, 37
13:38:01, 0, 60, 37
13:38:02, 0, 51, 34
13:38:03, 0, 41, 37
13:38:04, 0, 16, 30
13:38:05, 0, 4, 37
13:38:06, 0, 7, 48
13:38:07, 0, 11, 54
13:38:08, 0, 20, 60
13:38:09, 0, 27, 35
13:38:10, 0, 40, 41
13:38:11, 0, 44, 27
13:38:12, 0, 54, 38
13:38:13, 0, 54, 44
13:38:14, 0, 44, 38
13:38:15, 0, 40, 48
13:38:16, 0, 29, 41
13:38:17, 0, 27, 41
13:38:18, 0, 30, 47
13:38:19, 0, 27, 48
13:38:20, 0, 30, 54
13:38:21, 0, 27, 61
13:38:22, 0, 24, 53
13:38:23, 0, 24, 61
13:38:24, 0, 26, 57
13:38:25, 0, 20, 54
13:38:26, 0, 29, 54
13:38:27, 0, 34, 44
13:38:28, 0, 24, 50
13:38:29, 0, 16, 41
13:38:30, 0, 7, 48
13:38:31, 0, 3, 50
13:38:32, 0, 11, 47
13:38:33, 0, 29, 60
13:38:34, 0, 29, 64
13:38:35, 0, 21, 50
13:38:36, 0, 24, 50
13:38:37, 0, 29, 51
13:38:38, 0, 29, 44
13:38:39, 0, 41, 54
13:38:40, 0, 50, 48
13:38:41, 0, 34, 37
13:38:42, 0, 40, 24
13:38:43, 0, 37, 35
13:38:44, 0, 24, 34
13:38:45, 0, 38, 44
13:38:46, 0, 43, 60
13:38:47, 0, 41, 57
13:38:48, 0, 40, 53
13:38:49, 0, 37, 44
13:38:50, 0, 37, 41
13:38:51, 0, 41, 34
13:38:52, 0, 48, 47
13:38:53, 0, 47, 56
13:38:54, 0, 44, 56
13:38:55, 0, 43, 48
13:38:56, 0, 57, 38
13:38:57, 0, 63, 30
13:38:58, 0, 60, 20
