Time,john,thomas,vaidy
00:14:00, 38, 43, 44
00:14:01, 38, 53, 21
00:14:02, 40, 54, 20
00:14:03, 34, 54, 4
00:14:04, 35, 43, 11
00:14:05, 37, 38, 37
00:14:06, 47, 47, 50
00:14:07, 48, 43, 69
00:14:08, 56, 50, 70
00:14:09, 67, 43, 63
00:14:10, 67, 40, 57
00:14:11, 70, 29, 64
00:14:12, 67, 17, 41
00:14:13, 64, 37, 38
00:14:14, 54, 34, 35
00:14:15, 64, 53, 17
00:14:16, 78, 64, 23
00:14:17, 66, 61, 35
00:14:18, 63, 54, 38
00:14:19, 43, 43, 48
00:14:20, 20, 47, 66
00:14:21, 23, 37, 60
00:14:22, 26, 56, 78
00:14:23, 27, 50, 78
00:14:24, 41, 50, 64
00:14:25, 54, 51, 50
00:14:26, 60, 41, 23
00:14:27, 51, 60, 14
00:14:28, 41, 53, 8
00:14:29, 16, 51, 21
00:14:30, 4, 47, 30
00:14:31, 7, 43, 38
00:14:32, 11, 47, 44
00:14:33, 20, 38, 47
00:14:34, 27, 38, 57
00:14:35, 40, 24, 48
00:14:36, 44, 16, 51
00:14:37, 54, 24, 60
00:14:38, 54, 24, 43
00:14:39, 44, 24, 60
00:14:40, 40, 29, 57
00:14:41, 29, 34, 61
00:14:42, 27, 27, 61
00:14:43, 30, 29, 53
00:14:44, 27, 26, 50
00:14:45, 30, 24, 41
00:14:46, 27, 41, 41
00:14:47, 24, 44, 38
00:14:48, 24, 53, 44
00:14:49, 26, 57, 40
00:14:50, 20, 47, 44
00:14:51, 29, 50, 53
00:14:52, 34, 47, 60
00:14:53, 24, 40, 66
00:14:54, 16, 48, 69
00:14:55, 7, 48, 56
00:14:56, 3, 56, 50
00:14:57, 11, 64, 50
00:14:58, 29, 56, 37
00:14:59, 29, 47, 38
00:15:00, 21, 35, 29
00:15:01, 24, 27, 26
00:15:02, 29, 27, 37
00:15:03, 29, 35, 54
00:15:04, 41, 43, 61
00:15:05, 50, 41, 80
00:15:06, 34, 47, 78
00:15:07, 40, 43, 75
00:15:08, 37, 35, 69
00:15:09, 24, 41, 51
00:15:10, 38, 41, 53
00:15:11, 43, 44, 50
00:15:12, 41, 43, 40
00:15:13, 40, 41, 29
00:15:14, 37, 40, 43
00:15:15, 37, 30, 41
00:15:16, 41, 35, 44
00:15:17, 48, 29, 47
00:15:18, 47, 27, 30
00:15:19, 44, 43, 34
00:15:20, 43, 47, 26
00:15:21, 57, 50, 23
00:15:22, 63, 40, 16
00:15:23, 60, 41, 16
00:15:24, 51, 27, 24
