Time,john,thomas,vaidy
00:08:45, 53, 60, 67
00:08:46, 53, 61, 50
00:08:47, 44, 63, 47
00:08:48, 57, 75, 35
00:08:49, 75, 66, 38
00:08:50, 83, 60, 53
00:08:51, 100, 57, 57
00:08:52, 100, 48, 63
00:08:53, 96, 47, 63
00:08:54, 80, 56, 57
00:08:55, 60, 69, 56
00:08:56, 51, 75, 47
00:08:57, 54, 90, 38
00:08:58, 69, 90, 29
00:08:59, 81, 77, 29
00:09:00, 88, 88, 41
00:09:01, 81, 88, 51
00:09:02, 64, 66, 56
00:09:03, 51, 74, 56
00:09:04, 40, 57, 56
00:09:05, 48, 60, 44
00:09:06, 47, 77, 54
00:09:07, 61, 66, 60
00:09:08, 67, 56, 61
00:09:09, 64, 61, 74
00:09:10, 75, 70, 63
00:09:11, 70, 88, 69
00:09:12, 75, 83, 66
00:09:13, 81, 78, 66
00:09:14, 83, 61, 64
00:09:15, 78, 43, 63
00:09:16, 66, 41, 74
00:09:17, 41, 26, 70
00:09:18, 23, 30, 90
00:09:19, 11, 40, 83
00:09:20, 24, 48, 81
00:09:21, 41, 47, 70
00:09:22, 53, 40, 63
00:09:23, 77, 51, 56
00:09:24, 74, 54, 53
00:09:25, 67, 66, 54
00:09:26, 74, 69, 44
00:09:27, 57, 61, 40
00:09:28, 54, 51, 26
00:09:29, 70, 51, 27
00:09:30, 70, 50, 37
00:09:31, 69, 48, 47
00:09:32, 78, 50, 63
00:09:33, 61, 64, 74
00:09:34, 50, 63, 70
00:09:35, 56, 64, 77
00:09:36, 54, 75, 75
00:09:37, 56, 53, 61
00:09:38, 70, 50, 67
00:09:39, 53, 54, 63
00:09:40, 53, 43, 63
00:09:41, 63, 50, 77
00:09:42, 51, 63, 60
00:09:43, 74, 64, 63
00:09:44, 67, 70, 66
00:09:45, 50, 81, 53
00:09:46, 47, 77, 50
00:09:47, 43, 70, 53
00:09:48, 60, 64, 50
00:09:49, 77, 57, 57
00:09:50, 81, 56, 56
00:09:51, 70, 51, 44
00:09:52, 56, 56, 44
00:09:53, 54, 44, 54
00:09:54, 48, 40, 67
00:09:55, 56, 48, 70
00:09:56, 63, 43, 75
00:09:57, 53, 64, 77
00:09:58, 63, 69, 91
00:09:59, 60, 66, 97
00:10:00, 61, 64, 90
00:10:01, 66, 61, 81
00:10:02, 50, 53, 84
00:10:03, 50, 67, 74
00:10:04, 34, 78, 81
00:10:05, 35, 67, 70
00:10:05, 53, 70, 51
00:10:06, 50, 54, 66
00:10:07, 56, 47, 63
00:10:08, 50, 50, 78
00:10:09, 40, 53, 93
00:10:10, 50, 63, 81
00:10:11, 61, 54, 80
00:10:12, 60, 57, 64
00:10:13, 54, 44, 54
00:10:14, 35, 30, 54
00:10:15, 13, 44, 63
00:10:16, 29, 37, 69
00:10:16, 38, 47, 70
00:10:17, 66, 48, 75
00:10:18, 84, 47, 69
00:10:19, 83, 48, 66
00:10:20, 90, 54, 63
00:10:21, 81, 51, 48
00:10:22, 69, 57, 40
00:10:23, 50, 69, 41
00:10:25, 40, 66, 29
00:10:26, 43, 54, 35
00:10:27, 51, 44, 47
00:10:28, 63, 38, 50
00:10:29, 69, 24, 64
00:10:30, 56, 30, 77
00:10:31, 48, 41, 61
00:10:32, 54, 40, 61
00:10:33, 48, 44, 64
00:10:34, 57, 53, 69
00:10:35, 69, 50, 87
00:10:36, 64, 53, 84
00:10:37, 81, 41, 78
00:10:38, 67, 41, 64
00:10:39, 64, 38, 63
00:10:40, 69, 21, 61
00:10:41, 53, 26, 50
00:10:42, 74, 20, 47
00:10:43, 69, 17, 43
00:10:44, 74, 41, 47
00:10:45, 80, 57, 61
00:10:46, 66, 61, 64
00:10:47, 70, 61, 56
00:10:48, 75, 53, 56
00:10:49, 77, 51, 50
00:10:50, 80, 50, 53
00:10:51, 74, 51, 69
00:10:52, 64, 48, 53
00:10:53, 64, 44, 48
00:10:54, 66, 41, 50
00:10:55, 56, 44, 47
00:10:56, 63, 38, 64
00:10:57, 67, 35, 63
00:10:58, 67, 51, 61
00:10:59, 83, 56, 69
00:11:00, 74, 51, 61
00:11:01, 70, 53, 70
00:11:02, 64, 48, 69
00:11:03, 57, 34, 43
00:11:04, 67, 34, 47
00:11:05, 47, 41, 47
00:11:06, 51, 44, 51
00:11:07, 44, 54, 60
00:11:08, 48, 74, 74
